neighborhood,district,Violence rate per 1000 habitants
Amerique,19,7
Archives,3,6
Arsenal,11,5.7
Arts-et-Metiers,3,6
Auteuil,16,4.1
Batignolles,17,4.7
Bel-Air,12,6
Belleville,20,4.5
Bercy,12,6
Bonne-Nouvelle,10,12.1
Chaillot,16,4.1
Champs-Elysees,8,18.4
Charonne,20,4.5
Chaussee-dAntin,9,10.8
Clignancourt,18,8.7
Combat,19,7
Croulebarbe,13,5.4
Ecole-Militaire,7,4.3
Enfants-Rouges,3,6
Epinettes,17,4.7
Europe,8,18.4
Faubourg-du-Roule,8,18.4
Faubourg-Montmartre,9,10.8
Folie-Mericourt,11,5.7
Gaillon,2,9.7
Gare,13,5.4
Goutte-dOr,18,8.7
Grandes-Carrieres,18,8.7
Grenelle,15,3.3
Gros-Caillou,7,4.3
Hopital-Saint-Louis,10,12.1
Halles,1,33.3
Invalides,7,4.3
Jardin-des-Plantes,5,5.6
Javel 15Art,15,3.3
La Chapelle,18,8.7
Madeleine,8,18.4
Mail,2,9.7
Maison-Blanche,13,5.4
Monnaie,6,4.6
Montparnasse,14,4
Muette,16,4.1
Necker,15,3.3
Notre-Dame,4,11.6
Notre-Dame-des-Champs,6,4.6
Odeon,6,4.6
Palais-Royal,1,33.3
Parc-de-Montsouris,14,4
Petit-Montrouge,14,4
Picpus,12,6
Place-Vendome,1,33.3
Plaine-Monceau,17,4.7
Plaisance,14,4
Pont-de-Flandre,19,7
Porte-Dauphine,16,4.1
Porte-Saint-Denis,10,12.1
Porte-Saint-Martin,10,12.1
Pere-Lachaise,20,4.5
Quinze-Vingts,12,6
Rochechouart,18,8.7
Roquette,11,5.7
Saint-Ambroise,11,5.7
Saint-Avoye,3,6
Saint-Fargeau,20,4.5
Saint-Georges,9,10.8
Saint-Germain-des-Pres,6,4.6
Saint-Gervais,4,11.6
Saint-Lambert,15,3.3
Saint-Merri,4,11.6
Saint-Thomas-dAquin,7,4.3
Saint-Victor,5,5.6
Saint-Vincent-de-Paul,10,12.1
Sainte-Marguerite,11,5.7
Salpetriere,13,5.4
Sorbonne,5,5.6
St-Germain-lAuxerrois,1,33.3
Ternes,17,4.7
Val-de-Grace,5,5.6
Villette,19,7
Vivienne,2,9.7